task_id,original_arrival_time,eventual_arrival_time,cpu_required,transferred,actual_completion_timestamp,original_duration,actual_duration,data_transferred,data_load,transfer_completion_time
0,3031381,3031384,1,true,3031385,1,4,42.20,42.20,1
1,3031382,3031385,1,true,3031386,1,4,43.20,43.20,1
2,3031383,3031386,1,true,3031387,1,4,46.20,46.20,1
3,3031500,3031503,1,true,3031504,1,4,48.20,48.20,1
4,3031501,3031504,1,true,3031505,1,4,47.20,47.20,1
5,3031502,3031505,1,true,3031506,1,4,41.20,41.20,1
6,3031503,3031506,1,true,3031507,1,4,49.20,49.20,1
7,3031504,3031507,1,true,3031508,1,4,47.20,47.20,1
8,3031620,3031623,1,true,3031624,1,4,44.20,44.20,1
9,3031621,3031624,1,true,3031625,1,4,43.20,43.20,1
10,3031622,3031625,1,true,3031626,1,4,43.20,43.20,1
11,3031624,3031627,1,true,3031628,1,4,44.20,44.20,1
12,3031740,3031743,1,true,3031744,1,4,47.20,47.20,1
13,3031742,3031745,1,true,3031746,1,4,49.20,49.20,1
14,3031743,3031746,1,true,3031747,1,4,50.20,50.20,1
15,3031744,3031747,1,true,3031748,1,4,47.20,47.20,1
16,3031861,3031864,1,true,3031865,1,4,41.20,41.20,1
17,3031862,3031865,1,true,3031866,1,4,49.20,49.20,1
18,3031863,3031866,1,true,3031867,1,4,48.20,48.20,1
19,3031864,3031867,1,true,3031868,1,4,47.20,47.20,1
20,3031980,3031983,1,true,3031984,1,4,46.20,46.20,1
21,3031981,3031984,1,true,3031985,1,4,43.20,43.20,1
22,3031982,3031985,1,true,3031986,1,4,43.20,43.20,1
23,3031983,3031986,1,true,3031987,1,4,50.20,50.20,1
24,3031985,3031988,1,true,3031989,1,4,42.20,42.20,1
25,3032100,3032103,1,true,3032104,1,4,42.20,42.20,1
26,3032101,3032104,1,true,3032105,1,4,41.20,41.20,1
27,3032102,3032105,1,true,3032106,1,4,42.20,42.20,1
28,3032103,3032106,1,true,3032107,1,4,50.20,50.20,1
29,3032220,3032223,1,true,3032224,1,4,46.20,46.20,1
30,3032221,3032224,1,true,3032225,1,4,44.20,44.20,1
31,3032222,3032225,1,true,3032226,1,4,42.20,42.20,1
32,3032223,3032226,1,true,3032227,1,4,46.20,46.20,1
33,3032340,3032343,1,true,3032344,1,4,43.20,43.20,1
34,3032341,3032344,1,true,3032345,1,4,42.20,42.20,1
35,3032342,3032345,1,true,3032346,1,4,45.20,45.20,1
36,3032343,3032346,1,true,3032347,1,4,44.20,44.20,1
37,3032344,3032347,1,true,3032348,1,4,50.20,50.20,1
38,3032460,3032463,1,true,3032464,1,4,44.20,44.20,1
39,3032462,3032465,1,true,3032466,1,4,43.20,43.20,1
40,3032463,3032466,1,true,3032467,1,4,48.20,48.20,1
41,3032580,3032583,1,true,3032584,1,4,50.20,50.20,1
42,3032581,3032584,1,true,3032585,1,4,44.20,44.20,1
43,3032582,3032585,1,true,3032586,1,4,46.20,46.20,1
44,3032583,3032586,1,true,3032587,1,4,42.20,42.20,1
45,3032584,3032587,1,true,3032588,1,4,49.20,49.20,1
46,3032700,3032703,1,true,3032704,1,4,43.20,43.20,1
47,3032702,3032705,1,true,3032706,1,4,46.20,46.20,1
48,3032704,3032707,1,true,3032708,1,4,47.20,47.20,1
49,3032821,3032824,1,true,3032825,1,4,48.20,48.20,1
