task_id,original_arrival_time,eventual_arrival_time,cpu_required,transferred,actual_completion_timestamp,original_duration,actual_duration,data_transferred,data_load,transfer_completion_time
0,0,680,2,true,827,147,827,15050.80,15050.80,385
1,4,185,2,true,224,39,220,3987.60,3987.60,102
2,8,205,2,true,246,41,238,4196.40,4196.40,114
3,12,734,2,true,886,152,874,15557.80,15557.80,417
4,16,205,2,true,245,39,229,3985.60,3985.60,110
5,20,431607,32,true,440527,8920,440507,14614521.00,14614521.00,146146
6,24,6073,32,true,6198,125,6174,204790.00,204790.00,2048
7,28,773,2,true,940,167,912,17096.80,17096.80,410
8,32,294,2,true,380,86,348,8801.40,8801.40,89
9,36,43,1,true,47,4,11,198.80,198.80,2
