task_id,original_arrival_time,eventual_arrival_time,cpu_required,transferred,actual_completion_timestamp,original_duration,actual_duration,data_transferred,data_load,transfer_completion_time, actual_waited_time
0,1,1,4,false,6,5,5,0.00,2.50,0,0
1,2,2,2,false,5,3,3,0.00,1.00,0,0
2,4,6,8,true,10,4,6,5.00,5.00,1,1
3,5,8,10,true,11,3,6,12.00,12.00,2,1
4,6,6,6,false,12,6,6,0.00,3.60,0,0
5,7,7,3,false,17,10,10,0.00,3.00,0,0
6,9,11,4,true,13,2,4,0.80,0.80,1,1
7,15,15,5,false,23,8,8,0.00,4.00,0,0
8,16,18,7,true,30,12,14,8.40,8.40,1,1
9,25,25,10,false,30,5,5,0.00,5.00,0,0
